month,day,hour,temp,kW
8,25,1,73.9,121.0925
8,25,2,72,121.0625
8,25,3,72,120.14
8,25,4,72,119.485
8,25,5,72,119.82
8,25,6,71.1,120.73
8,25,7,71.1,120.89
8,25,8,73,123.51
8,25,9,75.9,125.5825
8,25,10,80.1,121.26
8,25,11,82,127.485
8,25,12,82,129.315
8,25,13,84,131.3
8,25,14,87.1,133.175
8,25,15,86,138.0575
8,25,16,88,139.18
8,25,17,87.1,145.9375
8,25,18,86,146.015
8,25,19,86,142.1975
8,25,20,84.9,140.365
8,25,21,82.9,139.58
8,25,22,82,137.7625
8,25,23,82,135.0125
8,25,24,80.1,135.3775
8,26,1,80.1,135.3425
8,26,2,79,134.2025
8,26,3,79,133.9075
8,26,4,79,133.8375
8,26,5,78.1,133.8125
8,26,6,78.1,133.6625
8,26,7,77.55,134.1025
8,26,8,80.1,134.32
8,26,9,86,136.6775
8,26,10,89.1,127.62
8,26,11,91,148.79
8,26,12,91,146.235
8,26,13,91.9,147.785
8,26,14,93.9,147.695
8,26,15,93,148.2625
8,26,16,93.9,147.2475
8,26,17,93.9,145.3075
8,26,18,93.9,144.6525
8,26,19,91.9,142.1625
8,26,20,90,141.26
8,26,21,89.1,138.2525
8,26,22,86,133.8875
8,26,23,84,140.3825
8,26,24,84.9,136.125
8,27,1,82,135.65
8,27,2,82,136.115
8,27,3,81,134.685
8,27,4,81,133.335
8,27,5,80.1,130.795
8,27,6,80.1,130.905
8,27,7,79,128.86
8,27,8,81,128.38
8,27,9,82,129.4625
8,27,10,84.9,131.2325
8,27,11,87.1,131.44
8,27,12,89.1,131.3525
8,27,13,89.1,130.8425
8,27,14,91,131.465
8,27,15,91,132.025
8,27,16,91.9,131.79
8,27,17,91,131.5525
8,27,18,89.1,132.6125
8,27,19,88,131.435
8,27,20,84.9,131.245
8,27,21,82.9,129.4225
8,27,22,82,128.6775
8,27,23,81,128.27
8,27,24,80.1,128.6825
8,28,1,78.1,128.5375
8,28,2,75.9,128.505
8,28,3,75,128.7325
8,28,4,75.9,128.905
8,28,5,75,128.29
8,28,6,75,128.0275
8,28,7,75,127.5475
8,28,8,75,128.1225
8,28,9,76.45,128.6775
8,28,10,80.1,129.6925
8,28,11,82,129.685
8,28,12,86,128.4025
8,28,13,87.1,128.1725
8,28,14,88,126.0025
8,28,15,90,126.1125
8,28,16,89.1,125.3975
8,28,17,88,124.605
8,28,18,87.1,126.2675
8,28,19,84.9,127.6475
8,28,20,82.9,128.4925
8,28,21,82,128.36
8,28,22,80.1,127.0075
8,28,23,79,126.4925
8,28,24,77,125.525
8,29,1,77,124.9
8,29,2,75.9,123.7125
8,29,3,73.9,123.29
8,29,4,73.9,123.845
8,29,5,73,123.5675
8,29,6,72,124.41
8,29,7,73,123.875
8,29,8,75.9,125.2475
8,29,9,79,127.38
8,29,10,82,133.1575
8,29,11,84,136.6875
8,29,12,87.1,139.1775
8,29,13,87.1,140.1825
8,29,14,89.1,143.485
8,29,15,90,138.9675
8,29,16,93,139.35
8,29,17,93,145.03
8,29,18,91,141.065
8,29,19,90,138.2625
8,29,20,88,137.06
8,29,21,87.1,136.1875
8,29,22,84,136.5375
8,29,23,82.9,134.1
8,29,24,82,133.3
8,30,1,81,131.895
8,30,2,80.1,126.27
8,30,3,79,123.895
8,30,4,78.1,123.1125
8,30,5,77,122.055
8,30,6,75.9,121.4125
8,30,7,75,121.5025
8,30,8,75.9,121.9675
8,30,9,78.1,119.6225
8,30,10,80.1,127.73
8,30,11,82.9,137.2175
8,30,12,86,136.7075
8,30,13,88,140.0025
8,30,14,89.1,140.2175
8,30,15,89.1,138.76
8,30,16,89.1,141.51
8,30,17,90,140.88
8,30,18,87.1,135.0525
8,30,19,84.9,134.94
8,30,20,82,131.03
8,30,21,82,128.11
8,30,22,80.1,127.235
8,30,23,79,126.995
8,30,24,78.1,126.3675
8,31,1,78.1,125.58
8,31,2,73.9,124.54
8,31,3,75.9,124.0225
8,31,4,75,124.2775
8,31,5,73.9,123.2375
8,31,6,73.9,123.06
8,31,7,73.9,123.5575
8,31,8,75.9,124.855
8,31,9,78.1,128.0375
8,31,10,81,135.3
8,31,11,84,137.6625
8,31,12,87.1,138.1075
8,31,13,89.1,141.155
8,31,14,87.1,142.375
8,31,15,87.1,141.215
8,31,16,91,140.6875
8,31,17,89.1,140.7775
8,31,18,89.1,140.16
8,31,19,87.1,138.195
8,31,20,86,136.8925
8,31,21,84,134.2775
8,31,22,82,132.295
8,31,23,81,130.905
8,31,24,80.1,131.235
9,1,1,80.1,130.77
9,1,2,79,129.86
9,1,3,77,128.205
9,1,4,75.45,127.5475
9,1,5,75.9,126.9425
9,1,6,75.9,126.98
9,1,7,75.9,127.2225
9,1,8,74.93,127.49
9,1,9,75,128.5275
9,1,10,72,132.4425
9,1,11,73.9,133.4925
9,1,12,78.1,135.94
9,1,13,78.1,138.59
9,1,14,79,135.765
9,1,15,79,134.755
9,1,16,80.1,135.19
9,1,17,82.9,140.2325
9,1,18,82,139.3975
9,1,19,81.05,135.1075
9,1,20,78.77,131.05
9,1,21,77,130.5025
9,1,22,75.9,129.28
9,1,23,75,128.29
9,1,24,73.97,126.4075
9,2,1,75.9,124.6
9,2,2,73.9,124.6225
9,2,3,71.1,122.26
9,2,4,69.1,118.4125
9,2,5,69.1,117.8175
9,2,6,68,117.045
9,2,7,66.9,116.9625
9,2,8,68,117.79
9,2,9,71.1,116.84
9,2,10,73.9,120.89
9,2,11,77,123.3475
9,2,12,78.1,126.0125
9,2,13,80.1,128.925
9,2,14,80.1,129.985
9,2,15,80.1,130.7425
9,2,16,80.1,129.805
9,2,17,80.1,129.015
9,2,18,79,126.5
9,2,19,78.1,122.6975
9,2,20,75.9,120.9075
9,2,21,75,118.69
9,2,22,75,118.5375
9,2,23,75,118.65
9,2,24,73,118.105
9,3,1,72,118.2975
9,3,2,72,117.6925
9,3,3,72,117.4925
9,3,4,71.1,117.4125
9,3,5,71.1,117.895
9,3,6,70,116.675
9,3,7,70,116.725
9,3,8,71.1,116.495
9,3,9,72,116.785
9,3,10,74.45,116.165
9,3,11,75.45,117.495
9,3,12,75.9,118.22
9,3,13,78.1,118.555
9,3,14,78.1,118.745
9,3,15,79,119.2275
9,3,16,82,118.7625
9,3,17,80.1,118.97
9,3,18,80.1,118.5825
9,3,19,78.1,118.48
9,3,20,75.9,116.725
9,3,21,75,115.7425
9,3,22,73.9,115.4025
9,3,23,73.9,115.7725
9,3,24,73,115.375
9,4,1,72,115.005
9,4,2,72,115.5275
9,4,3,71.1,115.3375
9,4,4,71.1,115.865
9,4,5,71.1,115.59
9,4,6,69.1,115.15
9,4,7,69.1,114.7125
9,4,8,70,114.9075
9,4,9,72,114.6625
9,4,10,75,114.58
9,4,11,75.9,114.7
9,4,12,79,114.5375
9,4,13,78.1,115.0775
9,4,14,81,114.615
9,4,15,82,114.1125
9,4,16,82.9,113.82
9,4,17,82,113.4125
9,4,18,80.1,115.4825
9,4,19,77,116.0125
9,4,20,75,114.2175
9,4,21,73.9,116.0225
9,4,22,73,114.705
9,4,23,73,115.0325
9,4,24,71.1,115.4275
9,5,1,69.1,115.33
9,5,2,68,115.0625
9,5,3,66.9,114.9325
9,5,4,66.9,115.0325
9,5,5,64.9,113.875
9,5,6,64.9,113.3275
9,5,7,64.9,112.17
9,5,8,66.9,111.8325
9,5,9,72,112.5025
9,5,10,78.1,113.175
9,5,11,81,113.1125
9,5,12,82.9,115.41
9,5,13,84,116.6775
9,5,14,86,117.0175
9,5,15,86,116.645
9,5,16,86,116.6175
9,5,17,87.1,116.5
9,5,18,86,118.065
9,5,19,84,118.4425
9,5,20,82.9,118.5375
9,5,21,79,118.31
9,5,22,78.1,117.7875
9,5,23,78.1,117.44
9,5,24,77,117.0825
9,6,1,75,115.65
9,6,2,75.9,114.93
9,6,3,73.9,114.965
9,6,4,73.9,114.395
9,6,5,72,113.8975
9,6,6,72,113.93
9,6,7,71.1,114.5
9,6,8,75,116.17
9,6,9,78.1,118.81
9,6,10,82,118.46
9,6,11,84,119.5825
9,6,12,86,125.175
9,6,13,88,86.2175
9,6,14,90,84.36
9,6,15,93,78.53
9,6,16,93,103.8175
9,6,17,93,146.1775
9,6,18,91.9,136.2825
9,6,19,89.1,131.365
9,6,20,86,127.9925
9,6,21,84.9,125.315
9,6,22,84.9,124.05
9,6,23,82,121.785
9,6,24,79,121.9575
9,7,1,78.1,120.8675
9,7,2,77,120.265
9,7,3,75.9,120.5675
9,7,4,73.9,120.18
9,7,5,73.9,119.115
9,7,6,73,118.24
9,7,7,75.9,118.4125
9,7,8,77,118.3225
9,7,9,81,121.1375
9,7,10,82.9,126.4675
9,7,11,84.9,130.075
9,7,12,90,131.8575
9,7,13,91,136.1775
9,7,14,91.9,139.08
9,7,15,93.9,142.3525
9,7,16,93,144.485
9,7,17,93,144.3775
9,7,18,84.6,142.2525
9,7,19,79.55,135.9075
9,7,20,79,131.52
9,7,21,77,130.8725
9,7,22,77,129.9625
9,7,23,77,130.5525
9,7,24,75.9,129.2625
9,8,1,77,128.915
9,8,2,75.9,128.2
9,8,3,75.9,128.495
9,8,4,75.9,127.875
9,8,5,75.9,126.8775
9,8,6,75.45,126.5975
9,8,7,75,127.255
9,8,8,77,128.9775
9,8,9,79,130.11
9,8,10,82,133.3775
9,8,11,91.45,138.9
9,8,12,93,139.6275
9,8,13,93.9,141.23
9,8,14,96.1,142.42
9,8,15,96.1,142.5475
9,8,16,96.1,143.13
9,8,17,96.1,145.0525
9,8,18,93.9,144.98
9,8,19,91,142.6125
9,8,20,88,142.0425
9,8,21,84.9,140.635
9,8,22,84,137.81
9,8,23,82.9,135.5875
9,8,24,82.9,135.6625
9,9,1,82,134.96
9,9,2,81,134.7825
9,9,3,81,134.4225
9,9,4,80.1,134.1575
9,9,5,80.1,133.0425
9,9,6,79,132.485
9,9,7,79,132.4875
9,9,8,80.1,132.65
9,9,9,81,134.8725
9,9,10,86,136.87
9,9,11,93,140.6425
9,9,12,95,143.435
9,9,13,93,143.77
9,9,14,95,143.9625
9,9,15,93,144.94
9,9,16,93.9,144.615
9,9,17,91.9,142.595
9,9,18,91.9,146.1475
9,9,19,88,139.8075
9,9,20,86,137.0375
9,9,21,86,138.0325
9,9,22,82.9,136.9675
9,9,23,82.9,136.5975
9,9,24,82,134.055
9,10,1,82.9,133.6075
9,10,2,81,134.04
9,10,3,80.1,133.6025
9,10,4,79,132.735
9,10,5,78.1,132.045
9,10,6,77,131.135
9,10,7,77,130.88
9,10,8,79,131.6475
9,10,9,81,131.5625
9,10,10,82.9,134.1275
9,10,11,88,137.2
9,10,12,91,136.7075
9,10,13,91,137.7
9,10,14,93,137.915
9,10,15,93.9,138.27
9,10,16,93.9,137.51
9,10,17,93,137.365
9,10,18,90,137.225
9,10,19,87.1,137.7325
9,10,20,84.9,139.1075
9,10,21,84,138.6175
9,10,22,82.9,137.62
9,10,23,82,136.1375
9,10,24,81,135.1975
9,11,1,81,134.9125
9,11,2,81,134.2525
9,11,3,81,134.13
9,11,4,81,132.065
9,11,5,80.1,132.7075
9,11,6,79,132.03
9,11,7,79,131.735
9,11,8,81,130.9625
9,11,9,80.1,126.3775
9,11,10,82.9,126.5225
9,11,11,80.1,124.97
9,11,12,84,124.01
9,11,13,84.9,122.085
9,11,14,86,121.87
9,11,15,84.9,122.2375
9,11,16,84.9,122.095
9,11,17,84,121.4625
9,11,18,84,121.5925
9,11,19,81,120.505
